Timestamp,Enter your unique user identifier:,Enter lesson topic,Enter method type,Enter lesson length in ms,I was engaged in the lesson.,What did you like about the lesson?,What would improve the lesson?,Did you take notes?,"If you did take notes, then how did you take notes?","Did you go through the lesson sequentially, from start to finish?","If you didn't go through the lesson sequentially, what did you skip and how much did you skip?"
9/27/2013 9:34:40,3027,output,textbook,144528,Agree,"Simple, basic codes",No real change,No,,Yes,
9/27/2013 9:37:38,3230,output,textbook,208492,Agree,It allowed me to practice programming for myself after reading it,"If it could be easier to read, or have more organized explanations of the functions of the codes I think it'd be a lot easier to learn it. ",No,,Yes,
9/27/2013 9:37:38,4001,output,textbook,229978,Agree,"I was introduced to C++, a new language I have never used before.","The way to improve this lesson, I believe, would be to have a video or animation to help out those that have never programmed before.",No,,Yes,
9/27/2013 9:41:03,4101,output,textbook,294731,Slightly agree,The good thing about this lesson is that we can actually try what we are learning.,It would be better if it has more pictures instead of text.,No,,Yes,
9/27/2013 9:44:09,3021,output,zyante,692186,Agree,It gave hands on practice about the lesson. There was immediate feedback and the ability to check answers.,,No,,Yes,
9/27/2013 9:44:11,4105,output,textbook,174973,Agree,"Interactive, does provide a overall representation.","More details on describing the questions, because the questions are not well detailed.",No,By typing in a text editor,Yes,"I would only skip a video if I knew about it, but I did not skip any information"
9/27/2013 9:44:23,3020,output,zyante,764127,Agree,"Good (interactive) examples of each, and had summary of main points.",Colors,No,,Yes,
9/27/2013 9:44:31,4114,output,textbook,292839,Slightly agree,I could test out codes that were written in the lesson.,Try it out with questions would help.,No,,Yes,
9/27/2013 9:44:31,4029,output,zyante,705958,Agree,Good interaction and involvement was used to engage the student in learning process. ,More examples. ,No,"By hand, on paper",Yes,I skipped the youtube video and some of explanations of keys like braces.
9/27/2013 9:44:56,4111,output,zyante,670434,Strongly agree,It let me practice as I was learning the material.,More practice? It was really good already!,No,,Yes,
9/27/2013 9:45:06,4112,output,textbook,406877,Strongly agree,It was simple and clear. There was no difficulty finding anything as it was all there.,,No,,Yes,
9/27/2013 9:46:01,2121,output,textbook,333414,Slightly agree,it showed examples of the actual code and explained some terms more in detail.,I would lesson by adding more examples of how the code is formed by video.,No,,No,I skimmed over some details of the lesson.
9/27/2013 9:46:19,2301,output,zyante,534336,Slightly agree,it was quick and not challenging,"make the subjects more difficult, but given the circumstances, I understand that you couldn't do that. ",No,,Yes,I skipped all of the videos
9/27/2013 9:46:33,4133,output,zyante,558929,Agree,The lesson was informative. Seems easy to follow.,More videos,No,,Yes,
9/27/2013 9:46:49,3030,output,zyante,806377,Agree,"It put an example at the beginning that I didn't completely understand, and it explained all of it throughout the rest of the lesson.","Hints aren't always useful, and can cause people to think that their mistake has something to do with the hint. I think hints should be optional, and not appear when you mess up.",Yes,By typing in a text editor,Yes,
9/27/2013 9:47:12,4131,output,textbook,234271,Strongly agree,"I like that the lesson also had a bit of a ""hands-on"" feel to the learning experience.",Adding a few more simple exercises to help practice with what was taught during the lesson would possibly improve the lesson.,No,n/a,Yes,
9/27/2013 9:47:37,2101,output,textbook,251953,Slightly agree,The lesson and application were right next to each other making it it faster for me to try the example program.,I think that if i could have highlight the text during the example i could have easily go back to look at the lines I needed to use if I were to look away.,No,"By hand, on paper",Yes,
9/27/2013 9:47:59,3121,output,textbook,740290,Agree,How you could test your own code/How you could interact,,No,N/A,Yes,
9/27/2013 9:49:27,2314,output,textbook,727476,Agree,I like the part where the lesson teaches you what the text needs in order for the function to work,More interaction and explanations about the text such as cout or int.,No,,Yes,
9/27/2013 9:51:16,4119,output,textbook,628405,Agree,That you could actually place code in a program and watch what happens if you make a mistake.,It was excellent. Maybe a bit more code writing to get the hang of it.,No,n/a,Yes,n/a
9/27/2013 9:52:39,3139,output,zyante,1013210,Agree,,,No,,Yes,
9/27/2013 9:52:39,4113,output,zyante,1006553,Strongly agree,I like the interactive examples because it made me apply what I just read. ,,No,,Yes,
