"id","userid","timestamp","activityid","correct","answer","correctanswer"
"27915","3230","2013-09-27 12:28:12","ScppBasicOutput_QpreLesson_3","1","true-b","true"
"27916","3020","2013-09-27 12:28:14","ScppBasicOutput_QpreLesson_1","0","false-d","true"
"27917","4029","2013-09-27 12:28:16","ScppBasicOutput_QpreLesson_1","1","true-a","true"
"27918","3020","2013-09-27 12:28:20","ScppBasicOutput_QpreLesson_2","1","true-d","true"
"27919","3230","2013-09-27 12:28:23","ScppBasicOutput_QpreLesson_4","0","false-b","true"
"27920","3020","2013-09-27 12:28:25","ScppBasicOutput_QpreLesson_3","1","true-b","true"
"27921","3230","2013-09-27 12:28:28","ScppBasicOutput_QpreLesson_2","0","false-c","true"
"27927","3230","2013-09-27 12:28:35","ScppBasicOutput_QpreLesson_1","0","false-c","true"
"27923","3027","2013-09-27 12:28:31","ScppBasicOutput_QpreLesson_1","0","false-d","true"
"27924","3020","2013-09-27 12:28:32","ScppBasicOutput_QpreLesson_4","1","true-c","true"
"27925","4029","2013-09-27 12:28:33","ScppBasicOutput_QpreLesson_2","1","true-d","true"
"27928","3027","2013-09-27 12:28:41","ScppBasicOutput_QpreLesson_2","1","true-d","true"
"27929","4029","2013-09-27 12:28:43","ScppBasicOutput_QpreLesson_3","1","true-b","true"
"27930","3027","2013-09-27 12:28:47","ScppBasicOutput_QpreLesson_3","1","true-b","true"
"27932","4029","2013-09-27 12:28:50","ScppBasicOutput_QpreLesson_4","1","true-c","true"
"27934","3030","2013-09-27 12:28:54","ScppBasicOutput_QpreLesson_2","1","true-d","true"
"27935","3027","2013-09-27 12:28:55","ScppBasicOutput_QpreLesson_4","1","true-c","true"
"27936","4113","2013-09-27 12:28:55","ScppBasicOutput_QpreLesson_1","0","false-b","true"
"27937","3030","2013-09-27 12:28:57","ScppBasicOutput_QpreLesson_3","1","true-b","true"
"27938","4001","2013-09-27 12:28:58","ScppBasicOutput_QpreLesson_1","1","true-a","true"
"27939","3030","2013-09-27 12:29:01","ScppBasicOutput_QpreLesson_4","1","true-c","true"
"27944","3030","2013-09-27 12:29:13","ScppBasicOutput_QpreLesson_1","0","false-d","true"
"27942","4134","2013-09-27 12:29:09","ScppBasicOutput_QpreLesson_1","0","false-d","true"
"27943","3021","2013-09-27 12:29:12","ScppBasicOutput_QpreLesson_1","0","false-c","true"
"27945","4001","2013-09-27 12:29:17","ScppBasicOutput_QpreLesson_2","1","true-d","true"
"27946","4113","2013-09-27 12:29:18","ScppBasicOutput_QpreLesson_2","1","true-d","true"
"27947","3021","2013-09-27 12:29:19","ScppBasicOutput_QpreLesson_2","0","false-c","true"
"27948","4134","2013-09-27 12:29:22","ScppBasicOutput_QpreLesson_2","1","true-d","true"
